latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-2.57186,121.3857,337.19,1.7,1.28,2023-04-09,0219,T,90,6.1NRT,292.11,68.77,D
-2.57023,121.37991,320.11,1.7,1.28,2023-04-09,0219,T,74,6.1NRT,290.27,25.01,D
-2.57236,121.39536,317.04,1.71,1.28,2023-04-09,0219,T,53,6.1NRT,292.4,18.88,D
-2.58162,121.37858,324.12,1.7,1.28,2023-04-09,0219,T,80,6.1NRT,295.15,34.45,D
-2.83148,122.16373,322.49,1.98,1.37,2023-04-09,0219,T,0,6.1NRT,297.98,30.85,D
-3.8728,122.39954,316.56,2.15,1.42,2023-04-09,0219,T,54,6.1NRT,295.23,25.19,D
-3.90073,122.4151,316.86,2.15,1.43,2023-04-09,0219,T,66,6.1NRT,295.26,24.64,D
-3.90111,122.40837,313.37,2.15,1.43,2023-04-09,0219,T,66,6.1NRT,294.93,18.7,D
-3.90366,122.42738,314.17,2.16,1.43,2023-04-09,0219,T,67,6.1NRT,294.36,20.44,D
-3.56258,119.77256,312.3,1.35,1.15,2023-04-09,0219,T,60,6.1NRT,297.33,8.7,D
-4.11135,122.14059,311.83,2.07,1.4,2023-04-09,0219,T,57,6.1NRT,293.99,13.02,D
14.99392,-13.60331,300.36,1.07,1.03,2023-04-09,0258,A,26,6.1NRT,285.89,3.44,N
13.7561,-13.36481,307.2,1.12,1.05,2023-04-09,0258,A,49,6.1NRT,295.77,6,N
13.74674,-13.36634,309.9,1.12,1.05,2023-04-09,0258,A,79,6.1NRT,295.92,8.2,N
13.65469,-16.1057,317.07,1.01,1.01,2023-04-09,0258,A,94,6.1NRT,293.11,14.39,N
13.61399,-16.21174,302.75,1.01,1.01,2023-04-09,0258,A,51,6.1NRT,292.58,4.83,N
13.13233,-15.50671,306.41,1,1,2023-04-09,0258,A,68,6.1NRT,294.6,5.84,N
12.93241,-15.15895,300.81,1.01,1,2023-04-09,0258,A,18,6.1NRT,287.11,3.38,N
34.51311,136.65768,300.5,3.92,1.84,2023-04-09,0209,T,31,6.1NRT,288.94,22.35,D
36.14256,127.21367,302.95,1.06,1.03,2023-04-09,0209,T,41,6.1NRT,292.15,4.32,D
35.96821,128.28188,309.69,1.15,1.07,2023-04-09,0209,T,33,6.1NRT,296.15,6.24,D
35.93801,128.28711,312.39,1.15,1.07,2023-04-09,0209,T,62,6.1NRT,298.15,8.08,D
35.87775,128.46777,308.64,1.17,1.08,2023-04-09,0209,T,16,6.1NRT,296.92,7.48,D
35.86465,128.54372,312.94,1.18,1.08,2023-04-09,0209,T,39,6.1NRT,297.77,8.45,D
35.84329,128.41342,305.13,1.17,1.08,2023-04-09,0209,T,27,6.1NRT,293.78,5.58,D
35.73298,128.45773,309.04,1.18,1.08,2023-04-09,0209,T,62,6.1NRT,297.59,9.83,D
35.73086,128.47009,306.9,1.18,1.08,2023-04-09,0209,T,42,6.1NRT,294.67,8.11,D
35.68344,128.45828,311.38,1.18,1.08,2023-04-09,0209,T,54,6.1NRT,298.66,9.73,D
35.41482,129.15977,312.45,1.29,1.13,2023-04-09,0209,T,43,6.1NRT,299.9,13.13,D
35.40977,129.07237,307.75,1.27,1.12,2023-04-09,0209,T,47,6.1NRT,293.79,9.64,D
35.40621,128.67732,308.92,1.22,1.1,2023-04-09,0209,T,53,6.1NRT,293.91,9.22,D
35.31697,129.18588,307.33,1.29,1.13,2023-04-09,0209,T,60,6.1NRT,296.17,9.49,D
35.36632,128.48535,311.85,1.2,1.09,2023-04-09,0209,T,70,6.1NRT,299.09,10.39,D
35.26653,128.77167,318.72,1.24,1.11,2023-04-09,0209,T,75,6.1NRT,300.49,17.68,D
35.14564,128.98596,311.76,1.27,1.12,2023-04-09,0209,T,33,6.1NRT,298.09,12.36,D
35.25581,128.24039,303.7,1.17,1.08,2023-04-09,0209,T,21,6.1NRT,292.71,5.02,D
